email_text,label
Your account has been compromised. Click here to reset your password immediately.,1
Reminder: Your invoice is attached. Please see the details.,0
Update your payment information to avoid service interruption.,1
Congratulations! You've won a $1000 gift card. Claim now.,1
Please find the meeting agenda attached for tomorrow's team sync.,0
We noticed a login attempt from a new device. Was this you?,0
Urgent! Your PayPal account is on hold. Verify now.,1
"Hi team, here's the updated sales report from last week.",0
Verify your account to avoid deactivation.,1
Thank you for your recent purchase. Your receipt is attached.,0
